 vibha,vibha@gmail.com,vibha,food,politics,sports 
 teju,teju@gmail.com,teju,food,politics,sports
 moin,moin@gmail.com,moin,sports,politics,food 
 varsha,varsha@gmail.com,varsha,sports,sports,sports 
 uzma,uzma@gmail.com,uzma,sports,sports,sports 
 radha,radha@gmail.com,radha,sports,sports,sports 
 roopa,roopa@gmail.com,roopa,sports,sports,sports 
 vrinda,vrinda@gmail.com,vrinda,sports,politics,food 
 navya,navya@gmail.com,navya,sports,politics,food 
 lavanya,lavanya@gmail.com,lavanya,sports,politics,food 
 sri,srikantha@gmail.com,sri,sports,politics,food 
 suma,suma@gmail.com,suma,food,sports,politics 
 suni,suni@gmail.com,suni123,food,sports,food 
 priya,priya@gmail.com,priya123,food,sports,politics 
 pavi,pavi@gmail.com,pavi,food,politics,sports 
 ram,ram@gmail.com,ram123,sports,politics,food 
 sheikh,moin@gmail.com,sheikh,sports,sports,sports 
 nagu,nagu@gmail.com,nagu123,food,technology,workout
 sachin,sachin@gmail.com,sachin123,food,technology,workout
 abc,abc@gmail.com,abc123,menfashion,animation,motivation
 chandu,chandana@gmail.com,chandu,motivation,technology,workout
